math,science,english,communication,programming,interest,aptitude,career1,career_overview,skills_to_develop,what_to_study_next,recommended_resources
4,2,2,4,3,Business Analyst,4,Business Analyst,Analyzes business needs and suggests solutions to improve processes.,"Analytical Thinking, Communication, Excel, SQL","Business Analysis, Data Analysis, Project Management","https://www.coursera.org/, https://www.edx.org/"
4,1,1,1,3,Digital Marketer,3,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
5,1,1,3,4,Business Analyst,1,Business Analyst,Analyzes business needs and suggests solutions to improve processes.,"Analytical Thinking, Communication, Excel, SQL","Business Analysis, Data Analysis, Project Management","https://www.coursera.org/, https://www.edx.org/"
3,5,1,4,5,Teacher,3,Teacher,Educates and inspires students in various subjects.,"Communication, Patience, Planning, Subject Mastery","Educational Psychology, Curriculum Design, Pedagogy","https://www.edutopia.org/, https://www.teachthought.com/"
4,1,3,2,5,Digital Marketer,4,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
3,1,4,1,5,Digital Marketer,4,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
1,5,1,3,3,Network Engineer,4,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
2,5,2,1,4,Digital Marketer,2,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
2,2,2,5,5,Content Writer,1,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
1,2,4,2,3,Biotechnologist,5,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
1,2,1,3,5,Network Engineer,1,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
5,4,4,1,2,Counselor,4,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
2,1,1,2,5,Financial Analyst,3,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
4,5,4,5,3,Biotechnologist,3,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
3,1,4,2,4,Digital Marketer,2,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
3,3,3,4,5,Content Writer,1,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
2,3,5,4,2,Biotechnologist,1,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
2,2,1,1,5,Financial Analyst,2,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
3,2,2,1,3,Biotechnologist,4,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
1,3,4,1,2,Teacher,5,Teacher,Educates and inspires students in various subjects.,"Communication, Patience, Planning, Subject Mastery","Educational Psychology, Curriculum Design, Pedagogy","https://www.edutopia.org/, https://www.teachthought.com/"
1,3,1,4,2,Digital Marketer,5,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
2,2,1,5,2,Counselor,1,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
3,5,4,2,4,Graphic Designer,5,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
4,4,5,1,1,Financial Analyst,4,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
4,5,2,5,3,Biotechnologist,1,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
3,5,1,4,1,Graphic Designer,4,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
4,3,3,1,1,Financial Analyst,5,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
3,4,3,1,1,Graphic Designer,2,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
1,3,1,4,2,Biotechnologist,2,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
4,1,2,4,5,Graphic Designer,2,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
5,2,1,3,1,Digital Marketer,1,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
2,3,1,2,4,Biotechnologist,1,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
3,4,2,2,4,Doctor,2,Doctor,"Diagnoses and treats illnesses,improves patient health and wellbeing.","Biology,Empathy,Communication","Anatomy,Physiology,Medical School",https://www.khanacademy.org/science/biology
2,1,2,1,3,Software Developer,1,Software Developer,Designs and builds software applications and systems.,"Programming, Problem Solving, Debugging, Software Design","Data Structures, Algorithms, Web/Software Development","https://www.freecodecamp.org/, https://www.codecademy.com/"
4,1,3,2,3,Content Writer,1,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
3,1,4,4,3,Content Writer,4,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
5,4,3,2,3,Counselor,4,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
5,4,4,5,5,Graphic Designer,5,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
5,1,2,2,1,Doctor,1,Doctor,"Diagnoses and treats illnesses,improves patient health and wellbeing.","Biology,Empathy,Communication","Anatomy,Physiology,Medical School",https://www.khanacademy.org/science/biology
1,1,3,4,3,Teacher,3,Teacher,Educates and inspires students in various subjects.,"Communication, Patience, Planning, Subject Mastery","Educational Psychology, Curriculum Design, Pedagogy","https://www.edutopia.org/, https://www.teachthought.com/"
1,5,5,3,2,Financial Analyst,3,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
2,3,2,1,5,Biotechnologist,5,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
1,2,4,5,2,Counselor,3,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
5,5,1,5,2,Network Engineer,4,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
5,2,3,5,4,Counselor,3,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
4,1,4,2,1,Network Engineer,5,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
4,3,1,4,1,Network Engineer,5,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
5,2,1,3,1,Network Engineer,1,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
1,1,4,2,4,Financial Analyst,5,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
5,4,5,5,2,Digital Marketer,1,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
5,5,5,5,1,Financial Analyst,2,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
3,4,4,2,3,Network Engineer,2,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
5,3,3,1,3,Digital Marketer,3,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
3,3,4,4,4,Business Analyst,1,Business Analyst,Analyzes business needs and suggests solutions to improve processes.,"Analytical Thinking, Communication, Excel, SQL","Business Analysis, Data Analysis, Project Management","https://www.coursera.org/, https://www.edx.org/"
4,4,3,5,1,Biotechnologist,5,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
3,2,3,1,2,Biotechnologist,5,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
5,3,2,3,1,Counselor,1,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
1,3,4,1,4,Content Writer,5,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
1,3,3,5,5,Digital Marketer,1,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
2,3,5,3,4,Doctor,1,Doctor,"Diagnoses and treats illnesses,improves patient health and wellbeing.","Biology,Empathy,Communication","Anatomy,Physiology,Medical School",https://www.khanacademy.org/science/biology
5,3,4,5,2,Network Engineer,5,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
3,2,1,3,2,Network Engineer,2,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
2,3,5,4,1,Counselor,5,Counselor,Helps individuals deal with emotional and mental challenges.,"Empathy, Listening, Critical Thinking, Ethics","Psychotherapy, Human Behavior, Mental Health","https://www.psychologytoday.com/, https://www.coursera.org/"
4,4,2,3,5,Software Developer,5,Software Developer,Designs and builds software applications and systems.,"Programming, Problem Solving, Debugging, Software Design","Data Structures, Algorithms, Web/Software Development","https://www.freecodecamp.org/, https://www.codecademy.com/"
5,1,5,1,3,Graphic Designer,2,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
5,5,1,5,2,Business Analyst,4,Business Analyst,Analyzes business needs and suggests solutions to improve processes.,"Analytical Thinking, Communication, Excel, SQL","Business Analysis, Data Analysis, Project Management","https://www.coursera.org/, https://www.edx.org/"
2,2,2,4,5,Doctor,5,Doctor,"Diagnoses and treats illnesses,improves patient health and wellbeing.","Biology,Empathy,Communication","Anatomy,Physiology,Medical School",https://www.khanacademy.org/science/biology
4,3,1,2,3,Biotechnologist,1,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
5,1,1,5,2,Graphic Designer,4,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
1,3,2,5,5,Software Developer,3,Software Developer,Designs and builds software applications and systems.,"Programming, Problem Solving, Debugging, Software Design","Data Structures, Algorithms, Web/Software Development","https://www.freecodecamp.org/, https://www.codecademy.com/"
3,4,4,1,1,Teacher,5,Teacher,Educates and inspires students in various subjects.,"Communication, Patience, Planning, Subject Mastery","Educational Psychology, Curriculum Design, Pedagogy","https://www.edutopia.org/, https://www.teachthought.com/"
5,4,3,4,3,Digital Marketer,3,Digital Marketer,Promotes products/services through digital channels.,"SEO, SEM, Analytics, Social Media Marketing","Digital Marketing, Consumer Behavior, Branding","https://www.google.com/skillshop/, https://moz.com/"
3,1,2,4,1,Network Engineer,2,Network Engineer,Designs and maintains computer networks.,"Networking, Security, Troubleshooting, Scripting","CCNA, Network Security, Cloud Infrastructure","https://www.cisco.com/, https://networklessons.com/"
1,1,5,5,4,Financial Analyst,2,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
3,3,5,2,2,Biotechnologist,4,Biotechnologist,Works with living organisms to develop products and technologies.,"Lab Skills, Molecular Biology, Research, Data Analysis","Genetics, Biochemistry, Microbiology","https://www.khanacademy.org/, https://www.coursera.org/"
2,4,3,2,5,Graphic Designer,4,Graphic Designer,Creates visual concepts to communicate ideas.,"Creativity, Adobe Suite, Typography, Color Theory","Graphic Design, UI/UX, Visual Communication","https://www.canva.com/learn/, https://www.udemy.com/"
5,2,5,5,3,Content Writer,3,Content Writer,"Writes engaging content for websites, blogs, and marketing.","Grammar, SEO, Creativity, Research","Content Strategy, Digital Marketing, Copywriting","https://neilpatel.com/blog/, https://www.hubspot.com/"
4,4,4,5,4,Teacher,4,Teacher,Educates and inspires students in various subjects.,"Communication, Patience, Planning, Subject Mastery","Educational Psychology, Curriculum Design, Pedagogy","https://www.edutopia.org/, https://www.teachthought.com/"
5,5,1,1,3,Financial Analyst,4,Financial Analyst,Evaluates financial data to help companies make decisions.,"Excel, Accounting, Financial Modeling, Statistics","Finance, Economics, Investment Analysis","https://www.investopedia.com/, https://cfainstitute.org/"
2,2,2,3,4,Software Developer,4,Software Developer,Designs and builds software applications and systems.,"Programming, Problem Solving, Debugging, Software Design","Data Structures, Algorithms, Web/Software Development","https://www.freecodecamp.org/, https://www.codecademy.com/"
